file rG rSD pval t1 t2 trait1 trait2 origorder1 origorder2 fdr meas
GENCX-19-20-reorder-cut0025.hsq 0.35168 0.346464 0.16915 05 06 R_Entorhinal R_Superior-insula 19 20 0.40596 thickness
GENCX-19-21-reorder-cut0025.hsq 0.873453 0.441633 0.01201 05 07 R_Entorhinal R_Planum-temporale 19 21 0.19216 thickness
GENCX-19-23-reorder-cut0025.hsq 0.32134 0.313674 0.16466 05 09 R_Entorhinal R_Anterior-insula 19 23 0.40596 thickness
GENCX-19-29-reorder-cut0025.hsq 0.418505 0.347893 0.13522 05 15 R_Entorhinal L_Collateral-sulcus 19 29 0.360586666666667 thickness
GENCX-19-30-reorder-cut0025.hsq 0.465281 0.296541 0.071989 05 16 R_Entorhinal L_Anterior-transverse-collateral-sulcus 19 30 0.360586666666667 thickness
GENCX-19-34-reorder-cut0025.hsq 0.02729 0.283392 0.46151 05 20 R_Entorhinal L_Calcarine-sulcus 19 34 0.47076 thickness
GENCX-20-21-reorder-cut0025.hsq 0.26764 0.353555 0.23554 06 07 R_Superior-insula R_Planum-temporale 20 21 0.438809302325581 thickness
GENCX-20-23-reorder-cut0025.hsq 0.623958 0.337901 0.03038 06 09 R_Superior-insula R_Anterior-insula 20 23 0.24304 thickness
GENCX-20-29-reorder-cut0025.hsq 0.442666 0.360407 0.12142 06 15 R_Superior-insula L_Collateral-sulcus 20 29 0.360586666666667 thickness
GENCX-20-30-reorder-cut0025.hsq 0.295176 0.301887 0.17905 06 16 R_Superior-insula L_Anterior-transverse-collateral-sulcus 20 30 0.409257142857143 thickness
GENCX-20-34-reorder-cut0025.hsq 0.137575 0.280479 0.31543 06 20 R_Superior-insula L_Calcarine-sulcus 20 34 0.438809302325581 thickness
GENCX-21-23-reorder-cut0025.hsq 0.157032 0.323693 0.32198 07 09 R_Planum-temporale R_Anterior-insula 21 23 0.438809302325581 thickness
GENCX-21-29-reorder-cut0025.hsq 0.752162 0.37568 0.020202 07 15 R_Planum-temporale L_Collateral-sulcus 21 29 0.242424 thickness
GENCX-21-30-reorder-cut0025.hsq -0.118808 0.321162 0.35391 07 16 R_Planum-temporale L_Anterior-transverse-collateral-sulcus 21 30 0.438809302325581 thickness
GENCX-21-34-reorder-cut0025.hsq 0.194775 0.273417 0.24666 07 20 R_Planum-temporale L_Calcarine-sulcus 21 34 0.438809302325581 thickness
GENCX-23-29-reorder-cut0025.hsq 0.279957 0.341669 0.21219 09 15 R_Anterior-insula L_Collateral-sulcus 23 29 0.438809302325581 thickness
GENCX-23-30-reorder-cut0025.hsq 0.043403 0.286282 0.44142 09 16 R_Anterior-insula L_Anterior-transverse-collateral-sulcus 23 30 0.47076 thickness
GENCX-23-34-reorder-cut0025.hsq -0.157496 0.268552 0.27305 09 20 R_Anterior-insula L_Calcarine-sulcus 23 34 0.438809302325581 thickness
GENCX-24-29-reorder-cut0025.hsq 0.122068 0.265562 0.33121 10 15 L_Cingulate L_Collateral-sulcus 24 29 0.438809302325581 thickness
GENCX-24-30-reorder-cut0025.hsq -0.069302 0.238071 0.38479 10 16 L_Cingulate L_Anterior-transverse-collateral-sulcus 24 30 0.438809302325581 thickness
GENCX-24-34-reorder-cut0025.hsq 0.68106 0.197936 0.00061875 10 20 L_Cingulate L_Calcarine-sulcus 24 34 0.0297 thickness
GENCX-29-30-reorder-cut0025.hsq 0.02497 0.327115 0.47076 15 16 L_Collateral-sulcus L_Anterior-transverse-collateral-sulcus 29 30 0.47076 thickness
GENCX-29-34-reorder-cut0025.hsq -0.11931 0.303414 0.34372 15 20 L_Collateral-sulcus L_Calcarine-sulcus 29 34 0.438809302325581 thickness
GENCX-30-34-reorder-cut0025.hsq 0.092387 0.238944 0.35552 16 20 L_Anterior-transverse-collateral-sulcus L_Calcarine-sulcus 30 34 0.438809302325581 thickness
