Sub_ID age hemi ageHemi sex_demean
sub-031541 10.2558139534884 1 10.2558139534884 0.634551495016611
sub-031541 10.2558139534884 0 0 0.634551495016611
sub-031542 10.2558139534884 1 10.2558139534884 0.634551495016611
sub-031542 10.2558139534884 0 0 0.634551495016611
sub-031543 -14.7441860465116 1 -14.7441860465116 -0.365448504983389
sub-031543 -14.7441860465116 0 0 -0.365448504983389
sub-031544 16.2558139534884 1 16.2558139534884 -0.365448504983389
sub-031544 16.2558139534884 0 0 -0.365448504983389
sub-031545 6.25581395348837 1 6.25581395348837 0.634551495016611
sub-031545 6.25581395348837 0 0 0.634551495016611
sub-031546 4.25581395348837 1 4.25581395348837 0.634551495016611
sub-031546 4.25581395348837 0 0 0.634551495016611
sub-031547 4.25581395348837 1 4.25581395348837 -0.365448504983389
sub-031547 4.25581395348837 0 0 -0.365448504983389
sub-031548 8.25581395348837 1 8.25581395348837 -0.365448504983389
sub-031548 8.25581395348837 0 0 -0.365448504983389
sub-031549 13.2558139534884 1 13.2558139534884 0.634551495016611
sub-031549 13.2558139534884 0 0 0.634551495016611
sub-031550 14.2558139534884 1 14.2558139534884 0.634551495016611
sub-031550 14.2558139534884 0 0 0.634551495016611
sub-031551 -10.7441860465116 1 -10.7441860465116 0.634551495016611
sub-031551 -10.7441860465116 0 0 0.634551495016611
sub-031552 -9.74418604651163 1 -9.74418604651163 0.634551495016611
sub-031552 -9.74418604651163 0 0 0.634551495016611
sub-031553 -11.7441860465116 1 -11.7441860465116 -0.365448504983389
sub-031553 -11.7441860465116 0 0 -0.365448504983389
sub-031554 -10.7441860465116 1 -10.7441860465116 -0.365448504983389
sub-031554 -10.7441860465116 0 0 -0.365448504983389
sub-031555 5.25581395348837 1 5.25581395348837 0.634551495016611
sub-031555 5.25581395348837 0 0 0.634551495016611
sub-031556 -8.74418604651163 1 -8.74418604651163 0.634551495016611
sub-031556 -8.74418604651163 0 0 0.634551495016611
sub-031557 6.25581395348837 1 6.25581395348837 0.634551495016611
sub-031557 6.25581395348837 0 0 0.634551495016611
sub-031558 12.2558139534884 1 12.2558139534884 -0.365448504983389
sub-031558 12.2558139534884 0 0 -0.365448504983389
sub-031559 -11.7441860465116 1 -11.7441860465116 0.634551495016611
sub-031559 -11.7441860465116 0 0 0.634551495016611
sub-031560 8.25581395348837 1 8.25581395348837 0.634551495016611
sub-031560 8.25581395348837 0 0 0.634551495016611
sub-031561 6.25581395348837 1 6.25581395348837 0.634551495016611
sub-031561 6.25581395348837 0 0 0.634551495016611
sub-031562 -12.7441860465116 1 -12.7441860465116 -0.365448504983389
sub-031562 -12.7441860465116 0 0 -0.365448504983389
sub-031563 -12.7441860465116 1 -12.7441860465116 -0.365448504983389
sub-031563 -12.7441860465116 0 0 -0.365448504983389
sub-031564 -10.7441860465116 1 -10.7441860465116 -0.365448504983389
sub-031564 -10.7441860465116 0 0 -0.365448504983389
sub-031565 -8.74418604651163 1 -8.74418604651163 0.634551495016611
sub-031565 -8.74418604651163 0 0 0.634551495016611
sub-031566 -14.7441860465116 1 -14.7441860465116 -0.365448504983389
sub-031566 -14.7441860465116 0 0 -0.365448504983389
sub-031567 -10.7441860465116 1 -10.7441860465116 0.634551495016611
sub-031567 -10.7441860465116 0 0 0.634551495016611
sub-031568 -12.7441860465116 1 -12.7441860465116 -0.365448504983389
sub-031568 -12.7441860465116 0 0 -0.365448504983389
sub-031569 -11.7441860465116 1 -11.7441860465116 -0.365448504983389
sub-031569 -11.7441860465116 0 0 -0.365448504983389
sub-031570 -13.7441860465116 1 -13.7441860465116 -0.365448504983389
sub-031570 -13.7441860465116 0 0 -0.365448504983389
sub-031571 -10.7441860465116 1 -10.7441860465116 -0.365448504983389
